Channel,MNI
RH1,"[26.114,-19.022,-20.364]"
RH2,"[29.249,-18.836,-18.368]"
RH3,"[32.370,-18.717,-16.397]"
RH4,"[35.517,-18.551,-14.371]"
RH5,"[38.778,-18.312,-12.317]"
RH6,"[42.088,-18.062,-10.301]"
RH7,"[45.355,-17.758,-8.266]"
RH8,"[48.586,-17.436,-6.285]"
RH9,"[51.715,-17.057,-4.339]"
RH10,"[54.787,-16.664,-2.468]"
RH11,"[57.889,-16.303,-0.731]"
RH12,"[60.960,-15.933,1.002]"
RH13,"[63.959,-15.569,2.809]"
RH14,"[66.808,-15.190,4.819]"
RA1,"[20.432,-9.214,-26.501]"
RA2,"[23.773,-8.595,-24.862]"
RA3,"[27.089,-8.110,-23.233]"
RA4,"[30.400,-7.750,-21.635]"
RA5,"[33.765,-7.451,-20.034]"
RA6,"[37.204,-7.140,-18.451]"
RA7,"[40.663,-6.786,-16.865]"
RA8,"[44.150,-6.363,-15.259]"
RA9,"[47.624,-5.869,-13.667]"
RA10,"[51.045,-5.312,-12.105]"
RA11,"[54.468,-4.760,-10.620]"
RA12,"[57.828,-4.231,-9.140]"
RA13,"[61.175,-3.750,-7.752]"
RA14,"[64.622,-3.262,-6.489]"
RP1,"[24.904,-34.352,-2.096]"
RP2,"[28.562,-35.027,-2.491]"
RP3,"[32.254,-35.610,-2.861]"
RP4,"[36.047,-36.161,-3.151]"
RP5,"[39.758,-36.701,-3.508]"
RP6,"[43.411,-37.180,-3.918]"
RP7,"[47.059,-37.579,-4.303]"
RP8,"[50.703,-37.930,-4.643]"
RP9,"[54.359,-38.244,-4.916]"
RP10,"[58.009,-38.521,-5.107]"
RP11,"[61.641,-38.793,-5.279]"
RP12,"[65.307,-39.093,-5.505]"
RS1,"[44.405,-19.037,5.742]"
RS2,"[47.966,-19.273,5.592]"
RS3,"[51.583,-19.546,5.398]"
RS4,"[55.241,-19.862,5.129]"
RS5,"[58.866,-20.128,4.895]"
RS6,"[62.453,-20.327,4.803]"
RS7,"[66.027,-20.480,4.889]"
RS8,"[69.776,-20.610,5.040]"
RT1,"[44.787,-40.741,25.181]"
RT2,"[48.232,-40.784,25.100]"
RT3,"[51.622,-40.780,25.039]"
RT4,"[54.985,-40.828,24.958]"
RT5,"[58.329,-40.945,24.840]"
RT6,"[61.685,-41.110,24.698]"
RT7,"[65.215,-41.355,24.589]"
LA1,"[-18.631,-3.602,-24.235]"
LA2,"[-22.428,-3.563,-24.289]"
LA3,"[-26.250,-3.548,-24.342]"
LA4,"[-30.096,-3.545,-24.449]"
LA5,"[-33.988,-3.565,-24.621]"
LA6,"[-37.885,-3.512,-24.772]"
LA7,"[-41.821,-3.355,-24.923]"
LA8,"[-45.783,-3.232,-25.176]"
LA9,"[-49.721,-3.217,-25.572]"
LA10,"[-53.653,-3.209,-26.017]"
LA11,"[-57.567,-3.090,-26.314]"
LA12,"[-61.420,-2.926,-26.466]"
LH1,"[-24.858,-19.357,-15.766]"
LH2,"[-28.707,-19.321,-15.801]"
LH3,"[-32.566,-19.257,-15.851]"
LH4,"[-36.417,-19.156,-15.904]"
LH5,"[-40.374,-19.027,-15.959]"
LH6,"[-44.429,-18.902,-16.082]"
LH7,"[-48.482,-18.842,-16.355]"
LH8,"[-52.562,-18.775,-16.639]"
LH9,"[-56.543,-18.759,-17.020]"
LH10,"[-60.473,-18.699,-17.323]"
LH11,"[-64.365,-18.570,-17.536]"
LH12,"[-68.282,-18.375,-17.734]"
LP1,"[-26.660,-34.034,-11.560]"
LP2,"[-30.548,-33.830,-11.811]"
LP3,"[-34.495,-33.601,-12.056]"
LP4,"[-38.455,-33.289,-12.253]"
LP5,"[-42.368,-32.957,-12.456]"
LP6,"[-46.286,-32.646,-12.741]"
LP7,"[-50.189,-32.336,-13.051]"
LP8,"[-54.070,-32.005,-13.310]"
LP9,"[-57.936,-31.669,-13.520]"
LP10,"[-61.861,-31.347,-13.759]"
LP11,"[-65.845,-30.989,-13.914]"
LP12,"[-69.905,-30.583,-13.994]"
LS1,"[-40.915,-19.456,5.160]"
LS2,"[-44.733,-19.271,4.863]"
LS3,"[-48.455,-18.956,4.567]"
LS4,"[-52.158,-18.624,4.340]"
LS5,"[-55.829,-18.397,4.084]"
LS6,"[-59.474,-18.280,3.774]"
LS7,"[-63.123,-18.206,3.474]"
LS8,"[-66.872,-18.095,3.259]"
LT1,"[-45.363,-47.024,-3.833]"
LT2,"[-49.043,-46.659,-4.050]"
LT3,"[-52.772,-46.303,-4.237]"
LT4,"[-56.571,-45.954,-4.354]"
LT5,"[-60.448,-45.592,-4.358]"
